Model,Optimizer,Seed,Temperature,Generated Text,Vocabulary Diversity,Repetition Rate
Transformer,Adam,محبت,0.7,محبت میں دل کے لیے سروں سے,1.0,0.0
Transformer,Adam,محبت,1.0,محبت تو سو کتابوں و گل پا کر,1.0,0.0
Transformer,Adam,محبت,1.3,محبت قصہ کا جب اک ابن زخمی ہی ہم گے,1.0,0.0
Transformer,Adam,دل,0.7,دل کا کس کے لیے ہے,1.0,0.0
Transformer,Adam,دل,1.0,دل میں آنکھوں کو بھی نہیں بے امر,1.0,0.0
Transformer,Adam,دل,1.3,دل بتاؤں نامہ کی دیدار تو فکر نے کھلتا,1.0,0.0
Transformer,Adam,شام,0.7,شام میں بھی تو تمہیں ہے,1.0,0.0
Transformer,Adam,شام,1.0,شام پر ہیں تم نے چھوڑ دے,1.0,0.0
Transformer,Adam,شام,1.3,شام ہے جہاں سے آج مدفن کچھ,1.0,0.0
Transformer,Adam,یاد,0.7,یاد ہوں گے کہ اب کیا کیا کس کی,0.8888888888888888,0.0
Transformer,Adam,یاد,1.0,یاد کہیں کچھ ہے فرصت وہاں کر اپنا,1.0,0.0
Transformer,Adam,یاد,1.3,یاد ہیں تلخ دکھ جمع صنم گئے ہیں,0.875,0.0
Transformer,Adam,خوشی,0.7,خوشی میں اور کچھ وہ کہ سبب,1.0,0.0
Transformer,Adam,خوشی,1.0,خوشی کے لیے رکھ پھر بھی نہ بنے مند,1.0,0.0
Transformer,Adam,خوشی,1.3,خوشی دریا نے خود شعار کا,1.0,0.0
Transformer,RMSprop,محبت,0.7,محبت کا تو کیا ہے,1.0,0.0
Transformer,RMSprop,محبت,1.0,محبت میں میری پھر بشر کو مری خامہ ساری نظریں,1.0,0.0
Transformer,RMSprop,محبت,1.3,محبت میں یہی تمہیں ہوں,1.0,0.0
Transformer,RMSprop,دل,0.7,دل نے مری شب فراق,1.0,0.0
Transformer,RMSprop,دل,1.0,دل کا بھی فرصت رنگ ناداں آخر,1.0,0.0
Transformer,RMSprop,دل,1.3,دل میں لاکھوں وصال کا دکھلا,1.0,0.0
Transformer,RMSprop,شام,0.7,شام کی پوچھے شمع سے تغافل و محتسب,1.0,0.0
Transformer,RMSprop,شام,1.0,شام ہے تمہیں سا بھی مجھ کو دیکھتا ہے,0.8888888888888888,0.0
Transformer,RMSprop,شام,1.3,شام ہے جلتے مر سا قرار ہوں چکی,1.0,0.0
Transformer,RMSprop,یاد,0.7,یاد جو کچھ نہ ہو جو کچھ نہ کھا,0.6666666666666666,0.25
Transformer,RMSprop,یاد,1.0,یاد اور سے تمہیں کر سب یار بھی,1.0,0.0
Transformer,RMSprop,یاد,1.3,یاد لے دو جذبۂ ڈالو ضمیر,1.0,0.0
Transformer,RMSprop,خوشی,0.7,خوشی کا نام بھی ہوں تنہا,1.0,0.0
Transformer,RMSprop,خوشی,1.0,خوشی تک ہے بڑی سے دور کیجیے,1.0,0.0
Transformer,RMSprop,خوشی,1.3,خوشی گرفتار کبھی ہے ہرن کھلا حیرت باقی,1.0,0.0
Transformer,SGD,محبت,0.7,محبت اس سے کچھ پوچھو کو اپنی کیا رکھے,1.0,0.0
Transformer,SGD,محبت,1.0,محبت مرگ سرہانے ہوں طبع پر کوئی بیان,1.0,0.0
Transformer,SGD,محبت,1.3,محبت محنت زبان بھی کچھ رو اتنا تحریر کر دشمن,1.0,0.0
Transformer,SGD,دل,0.7,دل سے زندگی کا نام ہے,1.0,0.0
Transformer,SGD,دل,1.0,دل ترا کھیل تو ہے دام مجھے دم کے بعد گونجتے دل,0.9166666666666666,0.0
Transformer,SGD,دل,1.3,دل تھا بھری ترک مجھے رکھ عذرا نہ رہا جس کی ٹھہرے دی,1.0,0.0
Transformer,SGD,شام,0.7,شام کا رنگ ہے وقت در سے یہ ہے,0.8888888888888888,0.0
Transformer,SGD,شام,1.0,شام سے بھی محبت اس میں جان یوں گیا ہے,1.0,0.0
Transformer,SGD,شام,1.3,شام ان ہی جانے نہیں محبت میں,1.0,0.0
Transformer,SGD,یاد,0.7,یاد آتی ہے جیسے سے دل کو,1.0,0.0
Transformer,SGD,یاد,1.0,یاد آتے ہو کہاں تم کو ان سہانی امتحاں پہ منع ہے,1.0,0.0
Transformer,SGD,یاد,1.3,یاد پیرزن باخبر چلانے لاتے کے دل نہیں تھے لکھوں,1.0,0.0
Transformer,SGD,خوشی,0.7,خوشی کے دل میں بھی غیر بھر کے سوا,0.8888888888888888,0.0
Transformer,SGD,خوشی,1.0,خوشی ہے اغیار ہے مجھ کو تیرے سبھی بھر کو چہروں کر,0.8333333333333334,0.0
Transformer,SGD,خوشی,1.3,خوشی میں لگاوٹ چلتی سے ہجر والو بیگانے کی وسعتیں صدائے نفر گے,1.0,0.0
