Model,Optimizer,Seed,Temperature,Generated Text
RNN,SGD,شام,1.0,شام گے آنچیں برچھیاں کاتب کیوں اور ہے
RNN,SGD,شام,1.3,شام راضی کارگر کسوت یہ ایاغ پیشہ اپنے تری جھکا بیداریٔ مجھے ہے
RNN,SGD,یاد,0.7,یاد
RNN,SGD,یاد,1.0,یاد صم پوچھتے کو
RNN,SGD,یاد,1.3,یاد سوائے محرومیاں
RNN,SGD,خوشی,0.7,خوشی میں
RNN,SGD,خوشی,1.0,خوشی سوداگری انکاروں جا جانا ہے
RNN,SGD,خوشی,1.3,خوشی
LSTM,Adam,محبت,0.7,محبت ٹل یاد ہے
LSTM,Adam,محبت,1.0,محبت چاہتا ہوں جس پیارے رنگ بدلنے
LSTM,Adam,محبت,1.3,محبت فاصلوں سلیقے ستائش سفیران آزار
LSTM,Adam,دل,0.7,دل تیرگیٔ ہوا پھر مجھے گھٹائیں دیتے ہیں
LSTM,Adam,دل,1.0,دل جو مخلوق گزرے
LSTM,Adam,دل,1.3,دل رنگین پر رلا کریے فگاراں گزاروں کہنا
LSTM,Adam,شام,0.7,شام مردم نقوش ہوں سب سے ہے
LSTM,Adam,شام,1.0,شام زاہدوں شیب کو زیارت کھلتا ہوا
LSTM,Adam,شام,1.3,شام جاگی وراثت چال ضرب ساتھ ہیں لباس بے کارن قافلۂ
LSTM,Adam,یاد,0.7,یاد حفاظتیں پیچش فطرت
LSTM,Adam,یاد,1.0,یاد معاملہ بہا منوائیے پرانا کا چین
LSTM,Adam,یاد,1.3,یاد فضاۓ نہ چلتا جاؤ پچھتاؤ نہ خرے پل
LSTM,Adam,خوشی,0.7,خوشی چڑھنے آیا ہی فطرت نہ ہوئی
LSTM,Adam,خوشی,1.0,خوشی اڑے رانی کعبہ کرو دل ساقی
LSTM,Adam,خوشی,1.3,خوشی بسانا سن ایزاد موت نازک گے
LSTM,RMSprop,محبت,0.7,محبت تھی مسلتی ہے بابت ہوں میں
LSTM,RMSprop,محبت,1.0,محبت دور چٹکنا ہے تحسین ہے
LSTM,RMSprop,محبت,1.3,محبت روتی سہاگ دل انمول کو آدھا طلسم ہے
LSTM,RMSprop,دل,0.7,دل نے دھندلکوں ہے سوچنا دل میں
LSTM,RMSprop,دل,1.0,دل کے پھوٹ وہ ڈوبے وہ ہوگا اور تو تو تھا
LSTM,RMSprop,دل,1.3,دل مرثیہ ساون دل شوخی کرتے نہیں تقوی
LSTM,RMSprop,شام,0.7,شام بظاہر دبانا ہے بہتا تو تو حالیؔ ہو
LSTM,RMSprop,شام,1.0,شام دہائی رتجگا ہے ہنسانا دل کا کہیں
LSTM,RMSprop,شام,1.3,شام بہت مسیحی بھی نکلیں ہے آمادۂ سے
LSTM,RMSprop,یاد,0.7,یاد پہنچے دھانوں ہے میں کیا تو کیا
LSTM,RMSprop,یاد,1.0,یاد گریۂ الاپوں ہے کرتی ہے بدل
LSTM,RMSprop,یاد,1.3,یاد اسے دبانا ہے شاعری کس صوفیوں بگڑتا کا
LSTM,RMSprop,خوشی,0.7,خوشی پہاڑ بجے ہے سحر تو تو کیا ہے
LSTM,RMSprop,خوشی,1.0,خوشی کیے ناطہ ہے اصیل کہیں نہ داری خوار
LSTM,RMSprop,خوشی,1.3,خوشی شکست چارگی ہے ویسا ابر نگاہ تمنا ہے
LSTM,SGD,محبت,0.7,محبت ساحرؔ پاے پختہ مانع
LSTM,SGD,محبت,1.0,محبت ديکھا منزل وہ برقرار شیشہ قہقہہ پر
LSTM,SGD,محبت,1.3,محبت موٹ ٹیلے آئینۂ کعبہ سنتے اچھا جفاخو
LSTM,SGD,دل,0.7,دل کتنے ہنسایا خور
LSTM,SGD,دل,1.0,دل لڑکپن دوبارا محیط آنے مصلحت کہاں ہو گھونٹ بغیر گے نہیں
LSTM,SGD,دل,1.3,دل ٹوکے سونپ اسماۓ خشک جینے گراتا ہمسائیگی آیا بھور
LSTM,SGD,شام,0.7,شام موندنی باندھ اٹھانے خو ہوئی
LSTM,SGD,شام,1.0,شام دستگیری کھلکھلا مستاں چوکنا چکے جائیں
LSTM,SGD,شام,1.3,شام نظریں حوادث پوست پائے ازاں مہتاب داغوں سکھی ہے
LSTM,SGD,یاد,0.7,یاد ہجر طفلاں مریم یکسو ہیں
LSTM,SGD,یاد,1.0,یاد تنے جملہ طبیعت مہکتا پتہ یکہ
LSTM,SGD,یاد,1.3,یاد پھیرے ٹپکتی کوش آویں نظر ناز جو رہا کرو شراب دیکھو
LSTM,SGD,خوشی,0.7,خوشی واقعی؟ خواروں پاں مذاق آرا
LSTM,SGD,خوشی,1.0,خوشی معرکۂ کہلائیں چھٹ جھانکا حادثہ
LSTM,SGD,خوشی,1.3,خوشی خواہش برطرف تنعم آرزوئے لکھوں ہے خانے بار اپنا نہیں
Transformer,Adam,محبت,0.7,محبت میں دل کے لیے سروں سے
Transformer,Adam,محبت,1.0,محبت تو سو کتابوں و گل پا کر
Transformer,Adam,محبت,1.3,محبت قصہ کا جب اک ابن زخمی ہی ہم گے
Transformer,Adam,دل,0.7,دل کا کس کے لیے ہے
Transformer,Adam,دل,1.0,دل میں آنکھوں کو بھی نہیں بے امر
Transformer,Adam,دل,1.3,دل بتاؤں نامہ کی دیدار تو فکر نے کھلتا
Transformer,Adam,شام,0.7,شام میں بھی تو تمہیں ہے
Transformer,Adam,شام,1.0,شام پر ہیں تم نے چھوڑ دے
Transformer,Adam,شام,1.3,شام ہے جہاں سے آج مدفن کچھ
Transformer,Adam,یاد,0.7,یاد ہوں گے کہ اب کیا کیا کس کی
Transformer,Adam,یاد,1.0,یاد کہیں کچھ ہے فرصت وہاں کر اپنا
Transformer,Adam,یاد,1.3,یاد ہیں تلخ دکھ جمع صنم گئے ہیں
Transformer,Adam,خوشی,0.7,خوشی میں اور کچھ وہ کہ سبب
Transformer,Adam,خوشی,1.0,خوشی کے لیے رکھ پھر بھی نہ بنے مند
Transformer,Adam,خوشی,1.3,خوشی دریا نے خود شعار کا
Transformer,RMSprop,محبت,0.7,محبت کا تو کیا ہے
Transformer,RMSprop,محبت,1.0,محبت میں میری پھر بشر کو مری خامہ ساری نظریں
Transformer,RMSprop,محبت,1.3,محبت میں یہی تمہیں ہوں
Transformer,RMSprop,دل,0.7,دل نے مری شب فراق
Transformer,RMSprop,دل,1.0,دل کا بھی فرصت رنگ ناداں آخر
Transformer,RMSprop,دل,1.3,دل میں لاکھوں وصال کا دکھلا
Transformer,RMSprop,شام,0.7,شام کی پوچھے شمع سے تغافل و محتسب
Transformer,RMSprop,شام,1.0,شام ہے تمہیں سا بھی مجھ کو دیکھتا ہے
Transformer,RMSprop,شام,1.3,شام ہے جلتے مر سا قرار ہوں چکی
Transformer,RMSprop,یاد,0.7,یاد جو کچھ نہ ہو جو کچھ نہ کھا
Transformer,RMSprop,یاد,1.0,یاد اور سے تمہیں کر سب یار بھی
Transformer,RMSprop,یاد,1.3,یاد لے دو جذبۂ ڈالو ضمیر
Transformer,RMSprop,خوشی,0.7,خوشی کا نام بھی ہوں تنہا
Transformer,RMSprop,خوشی,1.0,خوشی تک ہے بڑی سے دور کیجیے
Transformer,RMSprop,خوشی,1.3,خوشی گرفتار کبھی ہے ہرن کھلا حیرت باقی
Transformer,SGD,محبت,0.7,محبت اس سے کچھ پوچھو کو اپنی کیا رکھے
Transformer,SGD,محبت,1.0,محبت مرگ سرہانے ہوں طبع پر کوئی بیان
Transformer,SGD,محبت,1.3,محبت محنت زبان بھی کچھ رو اتنا تحریر کر دشمن
Transformer,SGD,دل,0.7,دل سے زندگی کا نام ہے
Transformer,SGD,دل,1.0,دل ترا کھیل تو ہے دام مجھے دم کے بعد گونجتے دل
Transformer,SGD,دل,1.3,دل تھا بھری ترک مجھے رکھ عذرا نہ رہا جس کی ٹھہرے دی
Transformer,SGD,شام,0.7,شام کا رنگ ہے وقت در سے یہ ہے
Transformer,SGD,شام,1.0,شام سے بھی محبت اس میں جان یوں گیا ہے
Transformer,SGD,شام,1.3,شام ان ہی جانے نہیں محبت میں
Transformer,SGD,یاد,0.7,یاد آتی ہے جیسے سے دل کو
Transformer,SGD,یاد,1.0,یاد آتے ہو کہاں تم کو ان سہانی امتحاں پہ منع ہے
Transformer,SGD,یاد,1.3,یاد پیرزن باخبر چلانے لاتے کے دل نہیں تھے لکھوں
Transformer,SGD,خوشی,0.7,خوشی کے دل میں بھی غیر بھر کے سوا
Transformer,SGD,خوشی,1.0,خوشی ہے اغیار ہے مجھ کو تیرے سبھی بھر کو چہروں کر
Transformer,SGD,خوشی,1.3,خوشی میں لگاوٹ چلتی سے ہجر والو بیگانے کی وسعتیں صدائے نفر گے
